book,chapter,token_count
Jeremiah,11,1808
Jeremiah,12,1270
Jeremiah,13,1783
Jeremiah,14,1690
Jeremiah,15,1661
Jeremiah,16,1586
Jeremiah,17,1864
Jeremiah,18,1617
Jeremiah,19,1154
Jeremiah,20,1443
Jeremiah,21,1148
Jeremiah,22,2026
Jeremiah,23,3020
Jeremiah,24,774
Jeremiah,25,2573
Jeremiah,26,1824
Jeremiah,27,1716
Jeremiah,28,1210
Jeremiah,29,2471
Jeremiah,30,1715
Jeremiah,31,2985
Jeremiah,32,3053
Jeremiah,33,1850
Jeremiah,34,1819
Jeremiah,35,1571
Jeremiah,36,2326
Jeremiah,37,1419
Jeremiah,38,2281
Jeremiah,39,1194
Jeremiah,40,1551
Jeremiah,41,1397
Jeremiah,42,1902
Jeremiah,43,1004
Jeremiah,44,2786
Jeremiah,45,370
Jeremiah,46,1917
Jeremiah,47,521
Jeremiah,48,2833
Jeremiah,49,2971
Jeremiah,50,3363
Jeremiah,51,4345
Jeremiah,52,2174
John,1,2522
John,2,1214
John,3,1810
John,4,2618
John,5,2357
John,6,3445
John,7,2535
John,8,3330
John,9,2085
John,10,1971
John,11,2748
John,12,2589
John,13,2071
John,14,1794
John,15,1504
John,16,1893
John,17,1568
John,18,2297
John,19,2423
John,20,1769
John,21,1719
3 John,1,766
2 John,1,706
1 John,1,615
1 John,2,1782
1 John,3,1374
1 John,4,1306
1 John,5,1169
Exodus,1,1032
Exodus,2,1479
Exodus,3,1789
Exodus,4,1871
Exodus,5,1467
Exodus,6,1664
Exodus,7,1460
Exodus,8,2058
Exodus,9,2097
Exodus,10,2016
Exodus,11,679
Exodus,12,3018
Exodus,13,1475
Exodus,14,2121
Exodus,15,1697
Exodus,16,2413
Exodus,17,1047
Exodus,18,1602
Exodus,19,1595
Exodus,20,1231
Exodus,21,1760
Exodus,22,1652
Exodus,23,1858
Exodus,24,993
Exodus,25,1634
Exodus,26,1751
Exodus,27,1124
Exodus,28,2253
Exodus,29,2451
Exodus,30,1882
Exodus,31,884
Exodus,32,2279
Exodus,33,1501
Exodus,34,2267
Exodus,35,1673
Exodus,36,1871
Exodus,37,1431
Exodus,38,1648
Exodus,39,2081
Exodus,40,1600
Hebrews,1,844
Hebrews,2,1194
Hebrews,3,993
Hebrews,4,992
Hebrews,5,803
Hebrews,6,1047
Hebrews,7,1535
Hebrews,8,872
Hebrews,9,1583
Hebrews,10,1925
Hebrews,11,2410
Hebrews,12,1699
Hebrews,13,1402
Galatians,1,1158
Galatians,2,1434
Galatians,3,1701
Galatians,4,1561
Galatians,5,1206
Galatians,6,882
1 Corinthians,1,1733
1 Corinthians,2,979
1 Corinthians,3,1210
1 Corinthians,4,1279
1 Corinthians,5,838
1 Corinthians,6,1161
1 Corinthians,7,2294
1 Corinthians,8,788
1 Corinthians,9,1633
1 Corinthians,10,1637
1 Corinthians,11,1737
1 Corinthians,12,1507
1 Corinthians,13,641
1 Corinthians,14,2051
1 Corinthians,15,3018
1 Corinthians,16,1080
2 Corinthians,1,1553
2 Corinthians,2,1003
2 Corinthians,3,984
2 Corinthians,4,1044
2 Corinthians,5,1268
2 Corinthians,6,931
2 Corinthians,7,1303
2 Corinthians,8,1317
